object_id,asset_name,asset_type
11926,S11926,"SNOW SALT SPREADER"
11927,S11927,"SNOW SALT SPREADER"
11928,S11928,"SNOW SALT SPREADER"
11929,S11929,"SNOW SALT SPREADER"
11930,S11930,"SNOW SALT SPREADER"
11931,S11931,"SNOW SALT SPREADER"
11932,S11932,"SNOW SALT SPREADER"
11933,S11933,"SNOW SALT SPREADER"
11934,S11934,"SNOW SALT SPREADER"
11940,S11940,"SNOW SALT SPREADER"
11941,S11941,"SNOW SALT SPREADER"
11942,S11942,"SNOW SALT SPREADER"
11943,S11943,"SNOW SALT SPREADER"
11944,S11944,"SNOW SALT SPREADER"
11945,S11945,"SNOW SALT SPREADER"
11946,S11946,"SNOW SALT SPREADER"
11947,S11947,"SNOW SALT SPREADER"
11948,S11948,"SNOW SALT SPREADER"
11949,S11949,"SNOW SALT SPREADER"
11950,S11950,"SNOW SALT SPREADER"
11951,S11951,"SNOW SALT SPREADER"
11952,S11952,"SNOW SALT SPREADER"
11953,S11953,"SNOW SALT SPREADER"
11954,S11954,"SNOW SALT SPREADER"
11955,S11955,"SNOW SALT SPREADER"
11956,S11956,"SNOW SALT SPREADER"
11957,S11957,"SNOW SALT SPREADER"
11958,S11958,"SNOW SALT SPREADER"
11959,S11959,"SNOW SALT SPREADER"
11960,S11960,"SNOW SALT SPREADER"
11961,S11961,"SNOW SALT SPREADER"
11962,S11962,"SNOW SALT SPREADER"
11963,S11963,"SNOW SALT SPREADER"
11964,S11964,"SNOW SALT SPREADER"
11965,S11965,"SNOW SALT SPREADER"
11966,S11966,"SNOW SALT SPREADER"
11967,S11967,"SNOW SALT SPREADER"
11968,S11968,"SNOW SALT SPREADER"
11969,S11969,"SNOW SALT SPREADER"
11970,S11970,"SNOW SALT SPREADER"
11971,S11971,"SNOW SALT SPREADER"
11973,S11973,"SNOW SALT SPREADER"
11974,S11974,"SNOW SALT SPREADER"
11975,S11975,"SNOW SALT SPREADER"
11976,S11976,"SNOW SALT SPREADER"
11977,S11977,"SNOW SALT SPREADER"
11978,S11978,"SNOW SALT SPREADER"
11979,S11979,"SNOW SALT SPREADER"
11980,S11980,"SNOW SALT SPREADER"
11981,S11981,"SNOW SALT SPREADER"
11982,S11982,"SNOW SALT SPREADER"
11983,S11983,"SNOW SALT SPREADER"
11984,S11984,"SNOW SALT SPREADER"
11985,S11985,"SNOW SALT SPREADER"
11986,S11986,"SNOW SALT SPREADER"
11987,S11987,"SNOW SALT SPREADER"
11988,S11988,"SNOW SALT SPREADER"
11989,S11989,"SNOW SALT SPREADER"
13201,S13201,"SNOW 4X4"
13202,S13202,"SNOW 4X4"
13203,S13203,"SNOW 4X4"
13204,S13204,"SNOW 4X4"
13205,S13205,"SNOW 4X4"
13206,S13206,"SNOW 4X4"
13207,S13207,"SNOW 4X4"
13208,S13208,"SNOW 4X4"
13209,S13209,"SNOW 4X4"
13210,S13210,"SNOW 4X4"
